importer,exporter,wheat_prev,soy_prev,maize_prev,rice_prev,wheat_cur,soy_cur,maize_cur,rice_cur,prev_year,year,norm_prev,norm_cur,theta,scale,m_comp,m_scale,comp_sq,scale_sq,share_comp,share_scale,rank,metric
Brazil,Paraguay,172797.4,578640.49,768142.07,31337.11,566733.78,323001.55,367315.8,44160.05,2014,2015,977603.1977654517,749925.4533892908,0.683668687916742,863764.3255773713,590528.6231367709,113838.87218808045,348724054743.8104,12959288821.054117,0.0436971262226917,0.0003211762808446089,5,comp
Viet Nam,United States of America,338355.23,697650.94,578144.58,0.0,267893.6,798774.46,3818.22,0.0,2014,2015,967187.8055138065,842509.4644413319,0.6471237821272146,904848.6349775692,585549.070919332,62339.1705362373,342867714454.49286,3886172183.146077,0.04296329316086479,9.631287223700492e-05,6,comp
"China, mainland",United States of America,862702.49,30029330.7,1027068.7,0.13,602848.57,28413083.61,461789.16,0.0,2014,2015,30059271.913849387,28423229.863185767,0.019434394300022213,29241250.888517577,568285.9995933254,818021.0253318101,322948977333.7851,669158397884.9059,0.040467361038259674,0.016584074056552243,7,comp
Thailand,France,0.0,0.0,0.1,0.0,694157.28,458.75,0.0,0.0,2014,2015,0.1,694157.4315877926,1.5707963267948966,347078.7657938963,545190.0504175585,347078.6657938963,297232191074.3,120463600249.27116,0.03724490006966298,0.0029855072789453842,8,comp
Spain,France,1602007.8,9917.8,1401809.2,743.7,1204997.3,25905.2,1766603.4,1147.9,2014,2015,2128754.786327446,2138592.6360483663,0.2534378271465427,2133673.711187906,540753.6292031629,4918.924860460218,292414487496.3917,24195821.782853577,0.036641214151001515,5.996566755708572e-07,9,comp
Italy,Ukraine,139557.4,215143.9,1296079.3,0.0,578768.2,69511.9,1134336.2,0.0,2014,2015,1321205.7816594886,1275352.166345943,0.3782140322058812,1298278.9740027157,491027.3256856815,22926.807656772784,241107834570.03232,525638509.33065516,0.030212195967458055,1.3027151707680817e-05,10,comp
Indonesia,Argentina,0.0,1000.3,1776082.26,0.0,1289197.86,7498.31,307863.74,0.0,2015,2016,1776082.5416874064,1325468.758322211,1.3363844674539487,1550775.6500048088,2072432.4911722275,225306.8916825977,4294976430466.325,50763195439.67381,0.27017805174319803,0.0019026175677198465,1,comp
Republic of Korea,Ukraine,810941.81,0.0,1605185.08,0.0,1298661.45,0.0,92164.25,0.0,2015,2016,1798400.8897519715,1301927.728675507,1.0321463680812948,1550164.3092137394,1599996.4616842102,248236.58053823223,2559988677401.992,61621399917.314255,0.16103761325414787,0.0023095858527956716,2,comp
Brazil,Argentina,3819536.09,1049.98,2038.16,4071.49,3950036.44,670.93,1436245.06,3968.92,2015,2016,3819538.9481451153,4203046.984293098,0.3482077666785099,4011292.9662191067,1396763.3652603705,191754.01807399117,1950947898533.4753,36769603447.52053,0.12272554013085255,0.0013781341554922873,3,comp
Thailand,Argentina,0.0,134460.0,146.32,0.0,757027.86,36311.55,554.69,0.0,2015,2016,134460.07961303013,757898.4213999776,1.5228663694132856,446179.25050650386,679471.3753263804,311719.1708934738,461681349887.92285,97168841502.51471,0.029042340431503968,0.0036419130686399077,4,comp
Mexico,United States of America,2647499.35,3635104.43,11869090.81,646922.91,2690412.39,3619434.23,13893522.37,736445.64,2015,2016,12708936.341518333,14625694.47923505,0.04835103174943312,13667315.41037669,660828.8013366399,958379.0688583581,436694704676.0203,918490439625.8135,0.027470540624859312,0.03442525694213916,5,comp
United States of America,Canada,2414162.98,500254.82,338310.92,0.0,1869072.86,208942.58,800669.78,0.0,2015,2016,2488552.201085394,2044055.3941444163,0.2807043691419886,2266303.797614905,636161.377793585,222248.40347048873,404701298596.2323,49394352845.181145,0.02545797635047804,0.0018513129966587127,6,comp
"China, Taiwan Province of",United States of America,1019605.0,1504550.0,1846565.0,0.0,1048382.0,1270627.85,2535482.55,0.0,2015,2016,2590958.7719124365,3023618.976073891,0.20961554396221518,2807288.873993164,588451.3843811516,216330.10208072723,346275031780.0939,46798713066.257866,0.021782637220084108,0.0017540277528895192,7,comp
Brazil,Paraguay,566733.78,323001.55,367315.8,44160.05,956125.67,381448.13,1465053.44,75238.84,2015,2016,749925.4533892908,1792127.6287736385,0.4561701145641771,1271026.5410814646,579804.3228592415,521101.08769217384,336173052806.26355,271546343593.96664,0.021147166212946614,0.010177626512616764,8,comp
