importer,exporter,wheat_prev,soy_prev,maize_prev,rice_prev,wheat_cur,soy_cur,maize_cur,rice_cur,prev_year,year,norm_prev,norm_cur,theta,scale,m_comp,m_scale,comp_sq,scale_sq,share_comp,share_scale,rank,metric
Italy,Russian Federation,1900984.0,0.0,0.0,0.0,615348.0,5650.0,0.0,0.0,2002,2003,1900984.0,615373.9380279279,0.009181538304983033,1258178.9690139638,11552.01839852577,642805.030986036,133449129.0798779,413198307860.9588,2.4445849320899635e-05,0.021898119624582622,9,scale
Iran (Islamic Republic of),Australia,1768706.0,0.0,0.0,0.0,512752.0,0.0,0.0,0.0,2002,2003,1768706.0,512752.0,0.0,1140729.0,0.0,627977.0,0.0,394355112529.0,0.0,0.02089949369209826,10,scale
Republic of Korea,"China, mainland",799349.0,53326.0,7774664.0,0.0,330232.0,64710.0,1707315.0,0.0,2003,2004,7815830.269329868,1740162.3680418446,0.09364505740703277,4777996.318685857,447435.7395539283,3037833.9506440116,200198741030.17078,9228435111685.402,0.008076334643607753,0.33840111085611746,1,scale
Malaysia,"China, mainland",5499.0,12854.0,3183369.0,0.0,12.0,3470.0,243902.0,0.0,2003,2004,3183399.7007096047,243926.6829356723,0.010325513939966998,1713663.1918226385,17694.453175572995,1469736.5088869662,313093673.18254524,2160125405555.247,1.2630695210203725e-05,0.07921048671651928,2,scale
Republic of Korea,United States of America,1363323.0,1189250.0,274771.0,0.0,1333444.0,997572.0,4397499.0,0.0,2003,2004,1829880.9434687274,4702256.9316575,1.0591940417689647,3266068.9375631134,3459400.7586735426,1436187.9940943862,11967453609111.082,2062635954380.8567,0.4827860539066349,0.0756356077500526,3,scale
"China, mainland",Canada,204327.0,13456.0,0.0,0.0,2532157.0,12978.0,0.0,0.0,2003,2004,204769.5945813245,2532190.2576885885,0.060635036761571844,1368479.9261349565,82977.83062866621,1163710.331553632,6885320375.839617,1354221735764.664,0.00027776474116463835,0.049658488593367515,4,scale
Malaysia,Australia,392143.0,20044.0,160.0,0.0,2707768.0,4454.0,3441.0,0.0,2003,2004,392654.96302097087,2707773.8495710827,0.04943218679296022,1550214.406296027,76630.48810116314,1157559.4432750558,5872231706.622505,1339943864715.2573,0.00023689513791867408,0.04913492773334027,5,scale
"China, mainland",United States of America,213294.0,8293094.0,33.0,0.0,2812493.0,10197760.0,546.0,0.0,2003,2004,8295836.4511579545,10578488.842493761,0.24339152926366642,9437162.646825857,2296925.448520895,1141326.1956679034,5275866516062.915,1302625484917.7693,0.21283682054877462,0.04776648541067284,6,scale
"China, mainland",Australia,6556.0,1.0,7.0,0.0,1783587.0,0.0,0.0,0.0,2003,2004,6556.003813299684,1783587.0,0.0010785639215469967,895071.5019066498,965.3918291613963,888515.4980933502,931981.3838115867,789459790352.0742,3.759760675088692e-08,0.02894901105097425,7,scale
Canada,United States of America,23830.0,649230.0,3734582.0,289.0,13648.0,508842.0,2052076.0,527.0,2003,2004,3790668.840725209,2114266.4534946866,0.07093837075798362,2952467.647109948,209443.24460163704,838201.1936152612,43866472709.26116,702581240978.0487,0.0017696430627467757,0.02576322740922646,8,scale
Indonesia,Australia,1307191.0,135.0,0.0,0.0,2971273.0,117.0,22.0,0.0,2003,2004,1307191.0069710547,2971273.002385005,6.43253805650435e-05,2139232.0046780296,137.60691281783517,832040.9977069751,18935.66245525529,692292221865.2185,7.638946473893841e-10,0.025385935327170994,9,scale
"China, mainland",Argentina,0.0,5963921.0,4.0,0.0,0.0,4402718.0,2.0,0.0,2003,2004,5963921.000001341,4402718.0000004545,2.159383408157448e-07,5183319.500000898,1.1192774127480898,780601.5000004433,1.2527819266880578,609338701802.9421,5.053920930437631e-14,0.022344080126503848,10,scale
Republic of Korea,"China, mainland",330232.0,64710.0,1707315.0,0.0,3936.0,79484.0,5835390.0,0.0,2004,2005,1740162.3680418446,5835932.62901929,0.1917764129676719,3788047.4985305676,726458.1614193546,2047885.1304887228,527741460292.78906,4193833507676.8135,0.03410632250989803,0.24828127164731928,1,scale
"China, mainland",Argentina,0.0,4402718.0,2.0,0.0,0.0,7396255.0,7.0,0.0,2004,2005,4402718.0000004545,7396255.000003313,4.921896626029584e-07,5899486.500001883,2.9036662699666347,1496768.500001429,8.43127780734195,2240315942596.5283,5.448877939364726e-13,0.1326300841703545,2,scale
"China, mainland",Brazil,0.0,5615937.0,0.0,0.0,0.0,7951712.0,0.0,0.0,2004,2005,5615937.0,7951712.0,0.0,6783824.5,0.0,1167887.5,0.0,1363961212656.25,0.0,0.08074856184348324,3,scale
Republic of Korea,United States of America,1333444.0,997572.0,4397499.0,0.0,1261154.0,790674.0,2162022.0,0.0,2004,2005,4702256.9316575,2624883.600176587,0.2437824473200004,3663570.265917043,893114.1253540415,1038686.6657404564,797652840906.9144,1078869989587.0266,0.05154987259824984,0.06387073126924886,4,scale
Egypt,Russian Federation,504297.0,0.0,500.0,0.0,2307969.0,0.0,49942.0,0.0,2004,2005,504297.24786974594,2308509.282702801,0.02064408343842011,1406403.2652862733,29033.90635663632,902106.0174165275,842967718.3259268,813795266659.1082,5.447843504792336e-05,0.0481779077058829,5,scale
Malaysia,India,231871.0,2968.0,1265709.0,0.0,16509.0,3168.0,4285.0,17.0,2004,2005,1286775.9099182733,17347.761210023615,1.1430006743579668,652061.8355641485,745307.1177729154,634714.0743541248,555482699802.9703,402861956183.2135,0.03589915428975032,0.023850035676524255,6,scale
Spain,France,1146893.0,10839.0,1281979.0,16126.0,1997240.0,11913.0,2144470.0,847.0,2004,2005,1720235.8099071768,2930505.389088715,0.022103768138237192,2325370.599497946,51399.452566776214,605134.7895907691,2641903724.164278,366188113573.0644,0.0001707381876088668,0.021678888857563996,7,scale
Spain,Ukraine,357559.0,0.0,6463.0,0.0,1433975.0,7022.0,322489.0,0.0,2004,2005,357617.4056865801,1469807.050000101,0.20319333559782132,913712.2278433406,185660.23535200488,556094.8221567605,34469722990.961845,309241451229.5591,0.0022276731650083983,0.01830756052113029,8,scale
Malaysia,Argentina,0.0,113034.0,626532.0,0.0,95679.0,204601.0,1722795.0,0.0,2004,2005,636646.7090781197,1737538.100954048,0.08164488271368188,1187092.405016084,96920.02017784072,550445.6959379641,9393490311.273052,302990464176.62964,0.0006070726561300241,0.01793749265560551,9,scale
"China, mainland",Canada,2532157.0,12978.0,0.0,0.0,1449175.0,12583.0,0.0,0.0,2004,2005,2532190.2576885885,1449229.6272551152,0.0035574233509621323,1990709.9424718518,7081.7980343418485,541480.3152167366,50151863.39920807,293200931767.2165,3.241162114905212e-06,0.01735793756573544,10,scale
Republic of Korea,"China, mainland",3936.0,79484.0,5835390.0,0.0,323503.0,39580.0,1981607.0,0.0,2005,2006,5835932.62901929,2008229.8349188024,0.16124317049027959,3922081.2319690464,632408.8127631107,1913851.3970502438,399940906460.44727,3662827169991.17,0.031994116519646155,0.18383987404947286,1,scale
"China, mainland",Brazil,0.0,7951712.0,0.0,0.0,0.0,11620230.0,0.0,0.0,2005,2006,7951712.0,11620230.0,0.0,9785971.0,0.0,1834259.0,0.0,3364506079081.0,0.0,0.16886692849841123,2,scale
Republic of Korea,United States of America,1261154.0,790674.0,2162022.0,0.0,1111022.0,526366.0,5803890.0,0.0,2005,2006,2624883.600176587,5932669.734827652,0.39632201651966337,4278776.667502119,1695773.397101725,1653893.0673255324,2875647414317.925,2735362278147.458,0.23004348131667227,0.13728975825401016,3,scale
India,Russian Federation,0.0,0.0,0.0,0.0,2081393.0,0.0,0.0,0.0,2005,2006,0.0,2081393.0,0.0,1040696.5,0.0,1040696.5,0.0,1083049205112.25,0.0,0.05435900199945763,4,scale
