importer,exporter,value
Croatia,Serbia,248.48
Netherlands (Kingdom of the),Sweden,245.91
Thailand,"China, mainland",242.84
Portugal,France,239.98
Pakistan,"China, mainland",236.0
Malaysia,Viet Nam,235.14
Sweden,Canada,234.6
Czechia,Belgium,229.64
Montenegro,Bosnia and Herzegovina,229.38
Uzbekistan,Russian Federation,227.6
Spain,Netherlands (Kingdom of the),224.74
Croatia,France,223.6
Belgium,Poland,223.28
United Kingdom of Great Britain and Northern Ireland,Austria,214.29
Bosnia and Herzegovina,Serbia,213.81
Switzerland,"China, mainland",208.14
Romania,France,203.69
United Republic of Tanzania,Mozambique,200.0
Ghana,Türkiye,191.5
Sweden,Italy,191.49
Serbia,Austria,191.44
Lithuania,Belgium,190.44
Finland,United States of America,190.0
Ukraine,Croatia,188.88
United Republic of Tanzania,Zimbabwe,184.0
Spain,Belgium,183.9
Italy,Serbia,182.05
Slovakia,Romania,180.86
Spain,Germany,179.83
Greece,Bulgaria,179.51
Bulgaria,Romania,178.54
Austria,Netherlands (Kingdom of the),174.61
Romania,Slovakia,169.14
Kyrgyzstan,Kazakhstan,168.0
United Arab Emirates,Ethiopia,166.31
Türkiye,"China, mainland",164.74
Slovakia,Canada,164.04
Netherlands (Kingdom of the),Spain,159.54
Czechia,Hungary,156.94
Guatemala,Nicaragua,156.13
"China, Taiwan Province of",Myanmar,154.0
Luxembourg,Belgium,153.4
Italy,Belgium,153.25
Slovenia,Poland,151.44
Romania,Poland,151.29
Greece,Italy,144.25
Spain,Austria,143.41
Romania,Slovenia,138.67
Ukraine,France,137.27
Saudi Arabia,Syrian Arab Republic,136.22
Germany,Denmark,133.7
Mozambique,United Arab Emirates,131.39
Denmark,Austria,129.01
United Kingdom of Great Britain and Northern Ireland,India,127.39
Lithuania,Austria,124.69
Germany,Croatia,122.78
New Zealand,"China, mainland",122.5
Croatia,Romania,122.45
Canada,Chile,121.23
Hungary,Serbia,119.88
Slovakia,France,118.7
Poland,Nigeria,115.0
Belgium,Serbia,112.8
Bulgaria,Ukraine,111.1
Pakistan,Djibouti,110.0
Romania,Germany,105.38
Slovenia,Serbia,102.24
Netherlands (Kingdom of the),Czechia,102.16
Czechia,Poland,101.17
Saudi Arabia,India,101.14
Greece,"China, mainland",100.0
Australia,United States of America,98.5
Hungary,"China, mainland",98.32
Slovenia,Germany,97.63
Bulgaria,Serbia,95.04
Lithuania,Poland,94.23
Portugal,Hungary,94.15
Lithuania,Netherlands (Kingdom of the),93.98
Switzerland,Netherlands (Kingdom of the),91.81
Jordan,"China, Taiwan Province of",89.94
South Africa,Botswana,86.03
Serbia,France,83.4
Romania,Greece,83.15
