importer,exporter,value
Netherlands (Kingdom of the),Romania,50.98
Philippines,Malaysia,50.1
Burkina Faso,Ghana,50.0
Romania,Germany,48.8
United Arab Emirates,Benin,48.48
Czechia,Italy,48.0
Netherlands (Kingdom of the),Ghana,47.31
Greece,Romania,45.02
Latvia,Ukraine,45.0
Uruguay,United States of America,44.96
Slovakia,Romania,44.69
Finland,Belgium,44.45
Netherlands (Kingdom of the),Portugal,44.05
Türkiye,Ethiopia,44.0
Portugal,"China, mainland",43.48
Poland,Italy,43.22
Malaysia,India,43.21
Netherlands (Kingdom of the),India,43.2
Spain,Serbia,43.2
Ukraine,Canada,42.16
Jamaica,Canada,41.18
Chile,Canada,41.15
Belgium,United States of America,40.39
Hungary,Belgium,40.0
El Salvador,United States of America,40.0
Malaysia,Singapore,39.96
Austria,Canada,39.91
Czechia,Serbia,38.71
Canada,Bolivia (Plurinational State of),38.0
Netherlands (Kingdom of the),Chile,37.95
Egypt,Thailand,37.4
Lesotho,South Africa,36.27
Italy,Spain,36.13
Netherlands (Kingdom of the),United Kingdom of Great Britain and Northern Ireland,35.81
Romania,Croatia,35.63
Slovakia,France,34.63
Germany,Switzerland,34.44
Romania,Belgium,33.44
Bulgaria,Netherlands (Kingdom of the),32.35
South Africa,"China, mainland",32.26
Ireland,Belgium,31.7
South Africa,Brazil,31.63
Denmark,Norway,31.57
Sweden,"China, Taiwan Province of",31.56
Spain,Hungary,30.0
Greece,Netherlands (Kingdom of the),28.94
Qatar,India,28.26
Suriname,Mexico,28.18
Ukraine,France,27.77
Lithuania,Latvia,27.77
Slovakia,Denmark,27.13
France,Indonesia,26.15
Australia,Japan,26.01
Ireland,"China, mainland",25.74
Netherlands (Kingdom of the),Iran (Islamic Republic of),25.42
Romania,Spain,25.2
Slovakia,Slovenia,25.0
Guyana,Brazil,25.0
Suriname,"China, mainland",24.63
Croatia,Bosnia and Herzegovina,24.52
Netherlands (Kingdom of the),Lithuania,24.03
Brunei Darussalam,India,24.0
Hungary,Argentina,23.55
France,India,23.32
Greece,"China, mainland",23.25
Denmark,Argentina,23.15
Spain,Egypt,23.0
Denmark,Ukraine,23.0
"China, Taiwan Province of",South Africa,23.0
Fiji,Australia,22.86
Netherlands (Kingdom of the),Finland,22.67
Canada,Serbia,22.25
Sweden,Netherlands (Kingdom of the),22.16
Ukraine,"China, mainland",22.0
Uruguay,Brazil,21.96
Egypt,"China, mainland",21.84
Netherlands (Kingdom of the),Serbia,21.77
Ukraine,Germany,21.3
Japan,Lao People's Democratic Republic,21.0
United States of America,Austria,20.95
Hungary,Sweden,20.79
Bulgaria,Togo,20.47
Costa Rica,Canada,20.43
France,Poland,20.42
Kuwait,India,20.28
Malaysia,Indonesia,20.09
Malawi,Zambia,20.0
Czechia,"China, mainland",20.0
Chile,New Zealand,20.0
Singapore,"China, Taiwan Province of",19.97
Finland,United Kingdom of Great Britain and Northern Ireland,19.94
Qatar,Bangladesh,19.75
Lithuania,Poland,19.69
Denmark,Uganda,19.4
Germany,Japan,19.27
Ukraine,Italy,19.21
Luxembourg,France,19.2
Germany,Iran (Islamic Republic of),19.17
Mongolia,"China, mainland",19.0
United Kingdom of Great Britain and Northern Ireland,India,18.8
Denmark,Thailand,18.54
Cambodia,Viet Nam,18.0
Belgium,Sweden,17.82
Belgium,Chile,17.75
Netherlands (Kingdom of the),Bulgaria,16.47
El Salvador,Nicaragua,15.88
Switzerland,Netherlands (Kingdom of the),15.69
Sweden,Republic of Korea,15.6
Austria,Denmark,15.47
Romania,Czechia,15.46
Netherlands (Kingdom of the),Slovenia,15.32
Chile,"China, mainland",15.06
Greece,Spain,14.99
Czechia,United Kingdom of Great Britain and Northern Ireland,14.86
Angola,Portugal,14.49
Thailand,Malaysia,14.49
Finland,Sweden,14.46
Eswatini,South Africa,14.18
Denmark,Belgium,14.13
Norway,France,14.0
Finland,Estonia,13.52
Croatia,Romania,13.32
Suriname,India,13.3
Sweden,Belgium,13.01
Netherlands (Kingdom of the),Slovakia,12.9
Luxembourg,Germany,12.85
El Salvador,Guatemala,12.76
Namibia,Zambia,12.55
Slovenia,Germany,12.45
Latvia,Sweden,12.43
Italy,India,12.35
Netherlands (Kingdom of the),Greece,12.29
Nicaragua,Brazil,12.0
Burkina Faso,Mali,12.0
Slovakia,"China, mainland",12.0
Kazakhstan,Austria,11.99
Hungary,Germany,11.97
Kazakhstan,Poland,11.72
Côte d'Ivoire,Burkina Faso,11.7
United States of America,Nepal,11.65
Cyprus,Germany,11.49
Australia,"China, Taiwan Province of",11.26
Romania,Denmark,11.17
Serbia,"China, mainland",11.15
Iceland,"China, mainland",10.98
Azerbaijan,Austria,10.84
Ireland,Austria,10.6
Bahrain,India,10.5
Norway,Austria,10.48
Canada,Republic of Korea,10.11
United Arab Emirates,Australia,10.08
Malaysia,"China, Taiwan Province of",10.07
United Kingdom of Great Britain and Northern Ireland,Republic of Korea,10.0
Togo,Nigeria,10.0
Canada,Indonesia,9.9
Australia,India,9.88
New Zealand,Japan,9.49
Mozambique,United States of America,9.45
Netherlands (Kingdom of the),Latvia,9.45
United Kingdom of Great Britain and Northern Ireland,Nepal,9.29
Guatemala,United States of America,9.07
Tunisia,Egypt,9.0
Norway,"China, Hong Kong SAR",9.0
Jordan,Egypt,8.98
United Arab Emirates,"China, mainland",8.9
Singapore,Japan,8.54
Singapore,Indonesia,8.52
Malaysia,New Zealand,8.5
Switzerland,Poland,8.23
Republic of Moldova,France,8.19
Belgium,Viet Nam,8.19
Belgium,Spain,8.14
Kuwait,"China, mainland",8.08
Estonia,Netherlands (Kingdom of the),7.72
Sweden,Viet Nam,7.46
Netherlands (Kingdom of the),Japan,7.23
United Kingdom of Great Britain and Northern Ireland,Portugal,7.2
Slovenia,Hungary,7.03
Germany,India,7.01
Greece,Serbia,7.0
United Kingdom of Great Britain and Northern Ireland,Indonesia,7.0
